seed,doublet_rate,cell_count,score,sample_identity_is_pathological,v_score
30,0.05,1000,0.15,True,0.6088439896546083
68,0.05,1000,0.1,True,0.5085178452482961
99,0.05,1000,0.05,True,0.6844195422127837
80,0.05,1000,0.0,False,0.7785015906683375
61,0.05,1000,0.05,True,0.6034933254509262
57,0.05,1000,0.15,True,0.4617511435813347
52,0.05,1000,0.0,False,0.7082509411647325
71,0.05,1000,0.0,False,0.7555469591777081
23,0.05,1000,0.0,False,0.9280761863365011
90,0.05,1000,0.0,False,0.5704583137321743
72,0.05,1000,0.05,True,0.6633061768753014
97,0.05,1000,0.05,True,0.5611970279665266
92,0.05,1000,0.0,False,0.6174118905537326
59,0.05,1000,0.05,True,0.6250740747036693
49,0.05,1000,0.0,False,0.5301137724814537
69,0.05,1000,0.3,True,0.47866920364712395
50,0.05,1000,0.05,True,0.4718496216147191
38,0.05,1000,0.05,True,0.4978754426999928
89,0.05,1000,0.2,True,0.48411979775236746
25,0.05,1000,0.0,False,0.8601674898341366
63,0.05,1000,0.05,True,0.6042859733296828
78,0.05,1000,0.1,True,0.5359569732273827
62,0.05,1000,0.2,True,0.5136288941676619
56,0.05,1000,0.1,True,0.4305888714038108
31,0.05,1000,0.1,True,0.5552829039767538
24,0.05,1000,0.1,True,0.5615407100104756
93,0.05,1000,0.1,True,0.6737785055774895
44,0.05,1000,0.15,True,0.5168124665019503
60,0.05,1000,0.1,True,0.5537039427357482
64,0.05,1000,0.1,True,0.5571310799508631
43,0.05,1000,0.05,True,0.4492241895785099
67,0.05,1000,0.2,True,0.5016815756663519
73,0.05,1000,0.15,True,0.5501087426836239
46,0.05,1000,0.0,False,0.5522906750246259
70,0.05,1000,0.1,False,0.5929948521400533
74,0.05,1000,0.0,False,0.8708063512547449
65,0.05,1000,0.05,True,0.5772061918862005
35,0.05,1000,0.15,True,0.5347532411713477
27,0.05,1000,0.0,False,0.6463365651375635
100,0.05,1000,0.05,True,0.5509568407275769
77,0.05,1000,0.15,True,0.5381912626127904
94,0.05,1000,0.15,True,0.47236213478814243
85,0.05,1000,0.55,True,0.5085549457983166
37,0.05,1000,0.1,True,0.6655991618723389
55,0.05,1000,0.0,False,0.501974398685376
76,0.05,1000,0.0,False,0.6301261347622139
82,0.05,1000,0.0,False,0.9201440614982288
51,0.05,1000,0.0,False,0.7739647732202583
41,0.05,1000,0.05,True,0.5761543267068882
26,0.05,1000,0.2,True,0.4502159449771174
66,0.05,1000,0.15,True,0.5346251551676702
53,0.05,1000,0.0,False,0.6374242263575208
98,0.05,1000,0.0,False,0.9219125886176484
87,0.05,1000,0.55,True,0.5345819760669873
91,0.05,1000,0.15,True,0.5463869418499555
34,0.05,1000,0.05,True,0.5697604829455738
54,0.05,1000,0.1,True,0.569314025057471
22,0.05,1000,0.45,True,0.4880463900732592
21,0.05,1000,0.0,False,0.5880791478206746
33,0.05,1000,0.2,True,0.6204046129504652
45,0.05,1000,0.0,False,0.5245552138187104
95,0.05,1000,0.0,False,0.6269760829987494
83,0.05,1000,0.1,False,0.4614354369461316
39,0.05,1000,0.05,True,0.6754398919023038
28,0.05,1000,0.35,True,0.4365860194346199
48,0.05,1000,0.0,False,0.5819520776316363
40,0.05,1000,0.0,False,0.5861193336925304
75,0.05,1000,0.0,False,0.6470881901489622
96,0.05,1000,0.0,False,0.5446500977353671
88,0.05,1000,0.0,False,0.5152942795173747
86,0.05,1000,0.0,False,0.6852745111719419
32,0.05,1000,0.05,True,0.6579360320115066
29,0.05,1000,0.0,False,0.4999605736593609
84,0.05,1000,0.15,True,0.43261556656068223
81,0.05,1000,0.05,True,0.4834635238486061
58,0.05,1000,0.15,True,0.5807883015773861
36,0.05,1000,0.05,True,0.4402785879015787
47,0.05,1000,0.05,True,0.5155267425007359
79,0.05,1000,0.4,True,0.4671074429668365
42,0.05,1000,0.1,True,0.6394549350374074
